flightSymbol,airline,flightType,timeType,time,flightSituation,codeJustification,originAirport,originCity,originState,originCountry,destinationAirport,destinationCity,destinationState,destinationCountry,destinationLongitude,destinationLatitude,originLatitude,originAltitude
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-01T23:05:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-02T00:44:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-02T07:50:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-02T09:09:00Z,Realizado,DEFEITOS DA AERONAVE,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-02T08:58:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-02T10:11:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-02T10:35:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-02T11:20:00Z,Realizado,CONEXAO DE AERONAVE,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-02T12:13:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-02T12:26:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-02T21:30:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-02T20:56:00Z,Realizado,CONEXAO DE AERONAVE,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-02T23:05:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-02T23:05:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-03T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-03T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-03T08:58:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-03T08:58:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-03T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-03T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-03T12:13:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-03T12:13:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-03T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-03T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-03T23:05:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-03T23:05:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-04T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-04T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-04T08:58:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-04T08:58:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-04T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-04T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-04T12:13:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-04T12:13:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-04T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-04T21:30:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-04T23:05:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-04T23:05:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-05T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-05T07:50:00Z,Realizado,NA,Miami,Miami,N/I,Estados Unidos,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,-49.1724811,-25.5327132,-80.2870457,25.795865
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-05T08:58:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-05T08:58:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalEstimate,2016-01-05T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,arrivalReal,2016-01-05T10:35:00Z,Realizado,NA,Afonso Pena,Sao Jose Dos Pinhais,PR,Brasil,Salgado Filho,Porto Alegre,RS,Brasil,-51.1753811,-29.9934732,-49.1724811,-25.5327132
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureEstimate,2016-01-05T12:13:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
AAL - 203,AMERICAN AIRLINES INC,Internacional,departureReal,2016-01-05T12:13:00Z,Realizado,NA,Salgado Filho,Porto Alegre,RS,Brasil,Miami,Miami,N/I,Estados Unidos,-80.2870457,25.795865,-51.1753811,-29.9934732
